id,name,day_of_year,entry_fee,reward_pool,charisma_reward,duration_value,duration_unit,tags,description_html,required_license_id,required_object_ids,quest_id,type,resolution_method,success_rate,encounter_id
hogwarts_term_start,Schuljahresbeginn in Hogwarts,1,0,0,1,1,day,schulfest;hogwarts,,,,,schulfest,manual,1.0,
house_sorting_ceremony,Sortierungszeremonie,2,0,0,2,1,day,schulfest;hogwarts,,,,,schulfest,manual,1.0,
charms_first_lesson,Erste Stunde: Zauberkunst,10,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,wand_ash,,,unterricht,manual,1.0,
transfiguration_first_lesson,Erste Stunde: Verwandlung,12,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,wand_ash,,,unterricht,manual,1.0,
potions_first_lesson,Erste Stunde: Zaubertränke,14,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,cauldron_pewter,,,unterricht,manual,1.0,
herbology_first_lesson,Erste Stunde: Kräuterkunde,16,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,gloves_standard,,,unterricht,manual,1.0,
defence_first_lesson,Erste Stunde: Verteidigung gegen die dunklen Künste,18,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,wand_ash,,,unterricht,manual,1.0,
astronomy_first_lesson,Erste Stunde: Astronomie,20,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,telescope_brass,,,unterricht,manual,1.0,
history_of_magic_first_lesson,Erste Stunde: Geschichte der Zauberei,22,0,0,0.5,2,hours,unterricht;hogwarts,license_apprentice,textbook_standard,,,unterricht,manual,1.0,
charms_owl_exam,OWL-Prüfung: Zauberkunst,180,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,wand_ash,owl_examinations,,prüfung,manual,1.0,
transfiguration_owl_exam,OWL-Prüfung: Verwandlung,182,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,wand_ash,owl_examinations,,prüfung,manual,1.0,
potions_owl_exam,OWL-Prüfung: Zaubertränke,184,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,cauldron_pewter,owl_examinations,,prüfung,manual,1.0,
herbology_owl_exam,OWL-Prüfung: Kräuterkunde,186,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,gloves_standard,owl_examinations,,prüfung,manual,1.0,
defence_owl_exam,OWL-Prüfung: Verteidigung,188,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,wand_ash,owl_examinations,,prüfung,manual,1.0,
astronomy_owl_exam,OWL-Prüfung: Astronomie,190,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,telescope_brass,owl_examinations,,prüfung,manual,1.0,
history_owl_exam,OWL-Prüfung: Geschichte,192,50,0,2,3,hours,prüfung;owl;hogwarts,license_apprentice,textbook_standard,owl_examinations,,prüfung,manual,1.0,
charms_newt_exam,NEWT-Prüfung: Zauberkunst,200,80,0,3,4,hours,prüfung;newt;hogwarts,license_journeyman,wand_oak,newt_examinations,,prüfung,manual,1.0,
transfiguration_newt_exam,NEWT-Prüfung: Verwandlung,202,80,0,3,4,hours,prüfung;newt;hogwarts,license_journeyman,wand_oak,newt_examinations,,prüfung,manual,1.0,
potions_newt_exam,NEWT-Prüfung: Zaubertränke,204,80,0,3,4,hours,prüfung;newt;hogwarts,license_journeyman,cauldron_copper,newt_examinations,,prüfung,manual,1.0,
herbology_newt_exam,NEWT-Prüfung: Kräuterkunde,206,80,0,3,4,hours,prüfung;newt;hogwarts,license_journeyman,gloves_dragonhide,newt_examinations,,prüfung,manual,1.0,
defence_newt_exam,NEWT-Prüfung: Verteidigung,208,80,0,3,4,hours,prüfung;newt;hogwarts,license_journeyman,wand_oak,newt_examinations,,prüfung,manual,1.0,
astronomy_newt_exam,NEWT-Prüfung: Astronomie,210,80,0,3,4,hours,prüfung;newt;hogwarts,license_journeyman,telescope_silver,newt_examinations,,prüfung,manual,1.0,
